Keller LEX1 pressure data
Date	Time	Pressure (mBar)
03/04/2014	11:31:39	1030.4639
03/04/2014	11:31:40	1030.4388
03/04/2014	11:31:41	1030.3744
03/04/2014	11:31:42	1030.3701
03/04/2014	11:31:43	1030.3496
03/04/2014	11:31:44	1030.3510
03/04/2014	11:31:45	1030.3182
03/04/2014	11:31:46	1030.2939
03/04/2014	11:31:47	1030.2665
03/04/2014	11:31:48	1030.1720
03/04/2014	11:31:49	1030.0404
03/04/2014	11:31:50	1030.1696
03/04/2014	11:31:51	1029.6334
03/04/2014	11:31:52	1029.5052
03/04/2014	11:31:53	1030.1456
03/04/2014	11:31:54	1029.8680
03/04/2014	11:31:55	1029.8529
03/04/2014	11:31:56	1029.7529
03/04/2014	11:31:57	1029.7916
03/04/2014	11:31:58	1029.6804
03/04/2014	11:32:00	1029.5693
03/04/2014	11:32:01	1029.6377
03/04/2014	11:32:02	1029.5133
03/04/2014	11:32:03	1029.4625
03/04/2014	11:32:04	1029.4199
03/04/2014	11:32:05	1029.8253
03/04/2014	11:32:06	1029.7827
03/04/2014	11:32:07	1029.3132
03/04/2014	11:32:08	1029.3558
03/04/2014	11:32:09	1029.5052
03/04/2014	11:32:10	1029.1851
03/04/2014	11:32:11	1028.8009
03/04/2014	11:32:12	1029.4626
03/04/2014	11:32:13	1029.2374
03/04/2014	11:32:14	1029.0712
03/04/2014	11:32:15	1029.0203
03/04/2014	11:32:16	1029.4144
03/04/2014	11:32:17	1028.9662
03/04/2014	11:32:18	1028.9257
03/04/2014	11:32:19	1028.9752
03/04/2014	11:32:20	1028.9723
03/04/2014	11:32:21	1028.8447
03/04/2014	11:32:22	1028.8080
03/04/2014	11:32:23	1028.7582
03/04/2014	11:32:24	1028.8009
03/04/2014	11:32:25	1028.7830
03/04/2014	11:32:26	1028.7727
03/04/2014	11:32:27	1028.7969
03/04/2014	11:32:28	1028.6765
03/04/2014	11:32:29	1028.6792
03/04/2014	11:32:30	1028.5781
03/04/2014	11:32:31	1028.5006
03/04/2014	11:32:32	1028.4474
03/04/2014	11:32:33	1028.4631
03/04/2014	11:32:34	1028.4142
03/04/2014	11:32:35	1028.3783
03/04/2014	11:32:36	1028.3333
03/04/2014	11:32:37	1028.3097
03/04/2014	11:32:38	1028.2544
03/04/2014	11:32:39	1028.2123
03/04/2014	11:32:40	1028.1924
03/04/2014	11:32:41	1028.1868
03/04/2014	11:32:42	1028.1946
03/04/2014	11:32:43	1028.2025
03/04/2014	11:32:44	1028.1017
03/04/2014	11:32:45	1027.9409
03/04/2014	11:32:46	1027.9429
03/04/2014	11:32:47	1027.9640
03/04/2014	11:32:48	1027.9438
03/04/2014	11:32:49	1027.8900
03/04/2014	11:32:50	1027.8522
03/04/2014	11:32:51	1027.8146
03/04/2014	11:32:52	1027.7461
03/04/2014	11:32:53	1027.7208
03/04/2014	11:32:54	1027.7347
03/04/2014	11:32:55	1027.7196
03/04/2014	11:32:56	1027.6671
03/04/2014	11:32:57	1027.6541
03/04/2014	11:32:58	1027.5625
03/04/2014	11:32:59	1027.6057
03/04/2014	11:33:00	1027.6775
03/04/2014	11:33:01	1027.6471
03/04/2014	11:33:02	1027.6854
03/04/2014	11:33:03	1027.3435
03/04/2014	11:33:04	1027.3652
03/04/2014	11:33:05	1027.1471
03/04/2014	11:33:06	1027.2880
